Employee_ID,Full_Name,Gender,Age,Department,Salary,Join_Date,City,Phone_Number,Performance_Score
EMP0001,Mariam Hussain,Female,47,Sales,32051,22-10-2018,Peshawar,03183206688,Excellent
EMP0002,Javed Kiani,Male,55,IT,188017,2018-12-10,Lahore ,03285210503,11
EMP0003,Muhammad Qureshi,Male,56,HR,224851,2013-02-23,Rawalpindi,03363538936,
EMP0004,Sadia Malik,Female,44,Marketing,232817,2013-11-17,Peshawer,003334132613,62
EMP0005,Usman Javed,male ,43,Marketing,146862,,Lahore,03356958354,82
EMP0006,Naveed Siddiqui,Male,55,Sales,90277,2012-03-14,Multan,03411502307,46
EMP0007,ayesha jafri,Female,56,IT,,01/09/2022,Rawalpindi,0306-153-0317,30
EMP0008,Rukhsar Javed,Female,52,Marketing,98771,2012-09-26,karachi,03053078648,67
EMP0009,Rukhsar Butt,Male,,Finance,205120,2012-10-15,Peshawar,03314177925,95
EMP0010,Nadia Aziz,Female,49,Sales,121634,2016-08-06,Quetta ,0341-903-8057,58
EMP0011,Imran Naqvi,male ,50,IT,218553,2012-07-06,Faisalabad,03241970207,67
EMP0012,Sana Sheikh,M,38,Sale,249949,2018-04-27,Lahore,03132103878,Good
EMP0013,Imran Aslam,Male,57,Finance ,89432,2018-01-30,Sialkot,03415317415,58
EMP0014,ahmed sheikh,Male,34,Operations,246522,TBD,Lahore,003324678110,88
EMP0015, Irfan Akhtar ,Female,200,Sales,199073,2022-08-29,Karachi,03254364861,79
EMP0016,Shazia Qureshi,Female,26,Operations,127392,,Gujranwala,03383833690,10
EMP0017,Tariq Anwar,Female,5,Sales,173273,2018-04-20,Islamabad,03097112002,14
EMP0018,Tahira Rizvi,Female,42,,62764,Last Year,Rawalpindi,,4.2
EMP0019,Akram  Durrani,Female,47,Marketing,92806,2010-11-18,Karachi,0333-307-1700,57
EMP0020,Rukhsar Mirza,Male,46,IT,39916,,Quetta,03198496272,Good
EMP0021,Khadija Hussain,Male,40,HR,229025,,Sialkot,03364262105,25
EMP0022,Majid Naqvi,Female,59,Operations,163562,2022-06-11,Quetta,03439090885,53
EMP0023,Imran Kiani,Female,37,Operations,33020,2013-12-03,Gujranwala,03065426389,82
EMP0024,Noreen Zaidi,Male,49,HR,"$78,966",00-00-0000,,03219045273,55
EMP0025,Shahid Aslam,Female,30,Marketing,"$81,676",08-04-2013,Karachi,03078665394,79
